"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"U73166.1",193,366,164,66,39,125,145,132,332,97,168,222,51,92,139,57,59,126,210,59
"U73169.1",2,24,1,2,2,4,4,4,0,3,11,5,2,7,3,2,0,3,9,2
"U73479.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U82695.1",7,1,3,1,4,4,0,3,12,1,8,5,1,1,2,1,1,0,2,0
"U85056.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U91319.1",0,29,0,23,17,3,20,26,38,9,7,56,26,19,9,0,33,2,2,0
"U91324.1",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U91328.1",220,135,125,160,141,288,61,295,165,58,210,174,254,209,229,61,43,383,129,95
"U91328.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"U91328.3",5,5,23,6,4,10,4,14,7,3,10,26,8,7,10,2,7,0,7,6
"U95743.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UACA",8053,5297,2851,4169,5147,3372,5962,2358,3484,1157,6440,1840,5871,5800,3872,5594,1649,4999,2874,3990
"UAP1",5374,8585,7333,9945,6489,4066,13902,4384,11808,853,5548,3995,7358,13303,2679,4359,7628,8892,1828,3178
"UAP1L1",1560,2585,560,1242,2054,976,1062,1315,1281,714,2482,1267,1055,710,1248,930,1250,1077,163,671
"UBA1",32583,34108,13038,18237,23127,17034,26907,33528,38418,6596,25436,19576,28781,34372,17239,15053,10207,15989,4504,14284
"UBA2",7305,6849,2717,4475,6132,4955,8699,5347,5967,2211,5058,4136,8753,7128,3266,4600,1791,4496,1311,2830
"UBA3",4040,4384,2286,3609,3469,3626,7546,3095,3603,1631,3380,1943,6301,5366,2468,3066,1456,2530,738,1776
"UBA5",4384,3004,1678,2421,2193,2754,3438,2556,2938,1261,2246,1316,4360,3444,1647,2225,1061,1888,719,1150
"UBA52",24804,26115,22021,37503,35539,19801,24972,29355,33922,12548,26005,57444,37819,28606,12664,31293,16430,22943,2069,12686
"UBA52P3",20,2,2,1,3,4,2,0,7,0,2,14,2,23,0,4,0,2,3,1
"UBA52P5",9,2,1,7,2,4,1,2,2,0,2,10,1,6,1,8,0,3,1,1
"UBA52P6",12,8,4,2,8,8,6,0,8,1,3,5,12,12,7,7,3,15,5,3
"UBA52P7",19,0,1,1,2,4,1,2,9,0,0,3,1,12,0,3,0,0,0,2
"UBA52P8",36,21,3,9,19,4,10,4,18,1,18,16,2,40,2,7,3,17,23,3
"UBA52P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBA6",4103,4668,1965,3391,2350,2130,5331,3047,2024,1477,3092,1341,3936,3924,2045,2756,1273,2552,1042,1559
"UBA6-AS1",886,1015,705,959,428,650,986,770,584,296,598,624,840,983,497,565,341,705,245,299
"UBA7",1342,10479,4348,3870,5879,2276,2419,3307,3066,4109,4943,1581,2855,4405,3413,2443,2033,3747,399,1901
"UBAC1",2750,3374,1794,1864,3303,2930,2159,3394,2980,1006,2656,4776,2326,2660,1735,1393,1255,2045,167,1252
"UBAC2",3873,6501,1701,3215,5319,5703,4898,5827,6550,1745,4259,5274,4811,6364,2861,3500,1727,2488,887,2829
"UBAC2-AS1",107,156,32,46,45,63,94,141,67,24,70,65,71,83,47,76,32,33,22,50
"UBALD1",2244,2548,1249,2984,2099,1985,968,2966,11263,541,2458,2894,877,1614,1313,666,1059,1400,219,685
"UBALD2",4555,3439,2124,1629,3348,2825,1362,2874,3522,1102,2339,4804,2388,2446,1375,967,1060,1671,169,976
"UBAP1",5446,5410,2308,3721,4088,2945,4730,5116,5577,1011,4303,2435,4208,6548,2826,2310,2278,3077,1298,2258
"UBAP1L",350,628,267,312,446,424,265,845,277,218,670,163,329,414,578,318,130,368,350,121
"UBAP2",4716,4936,1145,2480,2518,2213,4636,3141,3877,993,2978,1867,3132,4687,2018,2438,1321,2949,3568,1208
"UBAP2L",35222,23016,8654,8096,8606,4105,28054,9466,13317,3487,11257,5276,15706,23019,6426,10602,6137,15172,8427,7331
"UBASH3A",42,477,5,141,687,47,41,55,27,310,146,36,366,113,96,48,17,235,29,129
"UBASH3B",192,416,80,639,1058,221,309,191,178,153,872,74,701,174,117,121,145,426,135,213
"UBB",21824,28059,27893,26755,24394,21583,22481,32951,33327,12623,20654,31979,26800,42473,13419,10345,8672,21506,2131,12352
"UBBP1",57,6,10,5,17,19,8,8,16,0,7,1120,2,27,3,2,0,3,2,2
"UBBP2",7,3,2,1,3,6,4,0,3,1,1,3,0,1,0,0,0,0,18,0
"UBBP3",0,0,1,0,1,1,0,0,2,0,0,0,0,3,0,0,0,1,2,0
"UBBP4",250,300,257,250,223,258,150,268,362,87,207,276,168,404,110,63,91,123,12,99
"UBBP5",10,0,1,1,1,0,1,0,4,0,2,1,1,14,0,0,0,0,0,0
"UBC",70806,44255,29269,26018,54059,32618,42813,46370,72653,10606,26990,26977,57147,44923,18685,30518,29171,42521,2620,32666
"UBD",40,198,10,233,571,27,166,55,527,781,143,47,677,481,34,128,21,323,6,389
"UBDP1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2A",5362,5065,2148,2926,4437,3326,6352,3590,5208,1897,4144,3051,7488,4870,2323,2208,1313,3218,763,2179
"UBE2B",4267,4167,3907,3103,4321,5869,7330,4775,5889,1777,3778,4002,5209,4213,2535,2451,2144,3062,624,1965
"UBE2C",2078,748,1239,571,979,519,3541,76,1894,1220,633,2865,1561,1253,212,310,79,1265,256,275
"UBE2CP1",1,3,0,3,0,1,0,1,1,1,4,4,0,1,2,2,0,2,45,1
"UBE2CP2",17,37,14,7,7,4,15,39,16,6,39,1,9,34,21,16,10,18,3,10
"UBE2CP3",0,0,0,2,4,0,0,0,0,0,1,3,0,2,0,0,0,0,30,0
"UBE2CP4",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"UBE2D1",1413,1479,416,998,1497,1209,1864,1120,1312,545,1246,709,2778,1573,629,543,495,767,165,621
"UBE2D2",7167,6412,6177,4745,5042,4017,9359,4546,7729,2524,4294,5860,9360,6694,2413,3486,3223,5727,746,2626
"UBE2D3",19434,19846,10477,15695,16153,13229,24185,15713,15068,5662,15388,15147,20194,25151,9627,13976,6226,13271,3365,7519
"UBE2D3P1",29,33,8,21,3,13,10,8,8,1,12,0,13,13,6,22,2,6,7,1
"UBE2D3P2",12,8,3,5,12,5,9,6,5,0,7,2,9,10,2,3,2,5,73,3
"UBE2D3P3",2,3,0,0,2,2,6,2,2,1,6,1,0,4,1,1,0,1,19,1
"UBE2D3P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2D4",2166,1921,1485,745,1181,1068,2302,1654,1034,430,1380,1365,2519,2038,973,968,798,1102,536,949
"UBE2DNL",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"UBE2E1",6729,5797,1865,3724,3871,3511,6551,3612,4029,1845,3481,2540,8087,7132,2224,2792,1833,3083,698,1993
"UBE2E1-AS1",2,5,3,2,2,2,1,3,1,0,5,1,2,5,1,0,1,0,6,0
"UBE2E2",833,1346,212,882,2071,685,1515,1767,813,465,1701,479,2063,1030,941,324,566,651,322,804
"UBE2E2-AS1",0,1,0,0,4,2,2,4,0,0,2,0,2,1,1,0,1,0,0,0
"UBE2E3",835,1389,367,2324,3034,2714,1251,3157,1141,415,3042,728,4276,2475,2183,515,1504,917,199,1524
"UBE2F",2528,1936,863,1341,1980,3613,1881,1510,2066,869,1580,4643,3132,1624,732,987,1091,1841,333,899
"UBE2F-SCLY",10,4,1,1,8,5,6,4,2,3,8,0,1,1,3,2,0,2,4,4
"UBE2FP1",9,15,18,58,24,19,30,40,26,11,22,5,8,11,20,29,8,13,10,4
"UBE2FP2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"UBE2FP3",15,56,7,17,16,15,26,23,6,10,28,1,13,18,15,13,6,19,28,8
"UBE2G1",3516,5023,1295,1735,2747,3429,3103,4570,3140,844,3070,1414,3929,5794,3147,1884,552,2629,611,1018
"UBE2G2",7456,11830,3932,4962,8184,5134,5684,8208,7418,2200,7958,5078,4994,6499,4616,3946,3371,4836,1823,2521
"UBE2H",22535,19860,7337,11583,8151,13183,18347,14430,13772,4764,12145,11414,15266,18293,6625,9544,4423,8522,3582,6165
"UBE2HP1",1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,0,0,0
"UBE2I",7510,8119,4701,5485,8379,7835,9013,10077,9353,4033,7697,8898,6910,8762,4523,3268,3847,5041,1441,4302
"UBE2J1",5799,4381,2731,4293,6331,3161,6203,3641,5271,2957,4722,2897,10129,6481,3229,4536,1820,5009,1854,3067
"UBE2J2",4298,4213,2463,1828,3532,2154,2245,3872,3012,935,3263,3210,1754,4203,2174,1744,1142,2079,373,1530
"UBE2K",11022,7895,3598,4331,4607,5658,9679,6120,5917,1827,4849,4626,7232,8978,3537,6803,2018,4969,1902,2842
"UBE2L2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"UBE2L3",8698,6484,4890,3344,5864,6015,7721,6558,5128,2305,5206,7710,6634,8043,3329,3527,2401,4123,1469,2289
"UBE2L4",5,9,6,6,7,4,11,10,7,4,9,3,10,2,3,0,2,5,35,1
"UBE2L5",18,21,8,5,4,2,5,7,2,2,9,11,16,10,6,5,3,0,11,1
"UBE2L6",3005,20590,1852,7305,6277,1523,3628,4612,3393,2260,4582,3254,5985,8434,2331,2109,2465,14220,791,3151
"UBE2M",5922,4155,3417,2641,3517,3250,2880,3857,6228,1270,3148,7296,3336,3338,1983,1885,1721,2643,300,1514
"UBE2MP1",54,39,21,15,34,14,37,19,31,7,26,24,31,27,5,32,4,26,11,11
"UBE2N",6181,5722,4088,5939,4856,4398,8745,4990,6012,2536,3390,4095,10665,7579,2887,3140,3166,4832,913,2477
"UBE2NL",0,1,0,1,0,0,1,1,0,0,0,2,4,1,0,1,10,2,1,0
"UBE2NP1",1,1,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,4,0,0
"UBE2O",6251,4671,1893,2412,2220,1589,2163,3595,2783,1249,3262,2519,2214,3966,2227,2220,1077,4286,362,1905
"UBE2Q1",15923,7857,3689,3538,5570,3177,9630,5390,6638,1773,5225,3793,8612,8141,2819,4305,5627,6027,1719,3691
"UBE2Q1-AS1",19,23,8,12,3,7,25,4,7,8,14,2,4,9,8,8,2,5,4,7
"UBE2Q2",3838,2764,1942,2910,3420,3788,6517,4117,4035,1159,3255,2045,7041,7130,2252,4095,1205,2714,1044,2520
"UBE2Q2L",0,0,0,0,5,0,0,0,0,0,1,2,1,2,0,0,0,1,0,0
"UBE2Q2P1",124,117,50,110,75,73,49,100,47,32,294,33,43,80,141,55,5,100,85,46
"UBE2Q2P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2Q2P2",128,100,20,42,44,35,145,80,72,12,108,24,53,119,81,103,5,48,88,18
"UBE2Q2P4Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P5Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P6",5,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
"UBE2Q2P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2Q2P9",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"UBE2QL1",62,112,14,287,339,103,102,125,438,249,196,45,645,117,203,94,135,59,54,396
"UBE2R2",11311,8681,4631,3449,6701,4908,9361,6325,7771,1971,6026,5705,8659,9490,3205,5178,2510,5550,2308,2969
"UBE2R2-AS1",6,10,5,10,8,3,5,4,6,3,7,6,3,9,0,5,13,2,116,2
"UBE2S",1826,860,1167,855,757,904,569,587,1555,595,768,3512,625,662,328,294,171,808,30,222
"UBE2SP1",16,13,58,13,14,21,4,14,28,2,21,173,9,5,5,3,9,14,2,10
"UBE2SP2",6,7,5,3,3,2,3,1,2,1,5,10,4,3,0,1,0,2,4,3
"UBE2T",1671,622,1152,268,515,273,4074,168,1290,372,338,1149,1084,1042,128,430,137,877,172,319
"UBE2U",1,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"UBE2V1",764,590,332,523,463,235,734,423,434,153,494,190,400,534,292,450,82,619,810,213
"UBE2V1P1",0,7,1,4,1,1,4,2,1,0,4,5,0,2,0,2,0,1,46,1
"UBE2V1P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P11",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0
"UBE2V1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P13",1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0
"UBE2V1P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P15",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2
"UBE2V1P2",7,6,1,2,1,1,2,1,2,1,4,2,1,5,3,10,2,3,13,1
"UBE2V1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P5",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2V1P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2V1P7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2V1P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V1P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V2",5782,3067,1567,1744,2527,2699,5727,2993,3098,1091,2476,7370,4106,3363,1517,2039,1248,3272,527,1377
"UBE2V2P1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2V2P2",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0
"UBE2V2P3",8,8,2,5,3,1,2,3,0,0,2,0,1,4,1,3,0,0,23,0
"UBE2V2P4",0,0,0,1,1,0,2,1,4,0,0,2,0,0,1,0,0,0,43,0
"UBE2W",3703,2742,1337,2043,2020,2314,3321,2427,1852,962,1907,2797,5346,2618,1353,2882,479,2642,517,1064
"UBE2WP1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"UBE2Z",12457,11179,3673,7715,7942,6785,9331,9491,8958,2986,8233,9492,10794,11892,5105,5874,2123,11068,2951,6877
"UBE3A",9344,6638,3267,3913,5440,5629,16243,6690,6756,1677,5337,2230,11011,10253,4445,9106,1678,4756,2638,3157
"UBE3AP2",1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"UBE3B",7293,8116,2340,1988,3377,2489,5984,5212,4069,1065,4108,2389,4585,6660,3001,3241,1483,5861,1671,2536
"UBE3C",10077,8528,2346,5540,5346,4635,5633,6889,4086,1346,6219,2043,7223,8204,4253,10024,1376,5440,1944,2753
"UBE3D",144,81,34,149,185,149,68,186,157,87,183,219,247,205,104,36,65,146,198,125
"UBE4A",2750,3165,489,2926,1973,719,2118,2338,908,560,2532,747,1756,3974,1955,3086,979,2298,1617,1526
"UBE4B",7377,4681,2021,2619,3360,1928,4284,5161,1939,1097,4688,1519,2848,5695,2874,3036,493,3418,1274,2032
"UBFD1",6370,7192,1671,4976,3434,2732,7245,6905,3589,1098,4844,2488,5702,5900,2728,3150,1263,5705,1648,3625
"UBFD1P1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",2790,3173,1173,1863,1396,934,2442,2827,1508,670,1457,991,2250,3100,1184,2214,473,2178,328,967
"UBL3",4413,7489,1481,2784,4482,3067,6041,4905,3804,1118,4561,1116,6894,3249,3197,4950,1411,2024,1082,3491
"UBL4A",3766,3979,1467,1569,2711,2514,1923,3447,3923,612,2679,5555,2836,5170,2264,1834,1072,2421,259,1712
"UBL4B",6,21,1,8,29,1,7,4,0,4,14,7,7,4,2,1,4,25,8,12
"UBL5",9817,6353,8494,13232,5335,5355,7979,5462,8230,3214,4226,12577,12918,8255,2512,2965,5492,5612,349,2978
"UBL5P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBL5P2",3,2,1,6,5,2,3,4,9,0,7,11,2,1,0,2,1,4,16,1
"UBL5P3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
"UBL5P4",1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1
"UBL7",3820,2876,2715,1825,2596,2634,2492,3393,4045,1207,2384,2729,3189,4367,1642,2085,578,2273,145,1539
"UBL7-AS1",136,201,111,138,145,121,204,220,179,52,151,58,140,175,134,119,6,132,29,69
"UBLCP1",1858,2265,1275,1677,2411,1387,3048,1848,1614,943,2033,920,4001,2191,1200,1363,676,1403,332,1181
"UBN1",7034,8644,1840,4105,4405,2725,4662,6975,9968,1161,5297,2927,3657,7742,3754,3686,1350,5402,2005,3015
"UBN2",4369,4371,1762,1767,1727,2136,3906,3465,1814,895,3375,1584,3200,4540,2060,5867,1011,2041,5366,1313
"UBOX5",3015,1543,782,664,1026,993,1022,1579,1736,345,1216,2076,909,1515,973,639,508,845,280,573
"UBOX5-AS1",52,39,21,19,29,34,30,25,34,16,15,30,9,23,20,14,27,21,83,10
"UBP1",5824,9250,3469,3453,4992,3675,7867,9055,6484,2426,6879,2264,8683,9836,4472,5086,1833,6442,3052,3335
"UBQLN1",19243,13110,3449,7516,7380,7400,12421,8284,7978,2260,7939,5290,19551,6587,5527,8055,2506,9406,2261,4897
"UBQLN1P1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"UBQLN2",4314,5365,1638,3404,3380,3140,4435,3878,4079,935,3862,2148,7353,5379,2555,2947,761,2794,873,2146
"UBQLN3",2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,18,0
"UBQLN4",6891,7921,2798,2983,2554,3590,4217,4042,4545,621,3395,3023,4047,6385,1945,3133,1280,4442,1525,2460
"UBQLN4P1",16,14,5,9,1,5,16,3,7,0,14,0,5,9,2,12,0,22,7,10
"UBQLN4P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBQLNL",42,132,27,33,40,16,65,60,17,15,64,8,61,38,42,15,18,54,32,32
"UBR1",3707,3137,762,3152,2002,1701,3485,2281,1729,662,2606,457,4120,2946,1768,1927,379,2834,1337,1424
"UBR2",5071,4699,2229,2896,3194,2276,5374,4280,3188,1682,3719,1714,6168,5123,3129,4314,1774,4087,1890,2618
"UBR3",4252,4308,1102,2656,2493,1769,3694,3320,1976,925,3100,1340,3991,4356,2487,3988,840,3039,1502,1638
"UBR4",11178,19111,4122,7634,8530,4852,8024,12396,5610,2734,13813,3858,5500,14487,9482,11676,1134,12139,5848,5471
"UBR5",8203,13294,3093,8981,6763,5502,10527,10166,6110,4607,8996,8208,9925,12995,8051,12979,2233,10842,5407,4232
"UBR5-AS1",311,308,396,347,418,620,663,516,377,417,330,1738,915,529,391,360,249,315,36,174
"UBR7",5363,3194,1834,2674,3358,2867,6636,4287,4667,1253,2654,2266,4063,5585,2565,2270,2187,3097,1065,2046
"UBTD1",1184,1737,847,737,1926,1489,574,1341,2357,233,2092,1213,872,1610,898,484,715,961,25,773
"UBTD2",3722,3672,1877,2133,2268,2018,4374,2829,2829,753,2636,1524,5205,4058,1674,1758,1216,2452,502,2010
"UBTF",14824,13886,8439,7851,10067,8437,9017,14644,12073,3811,10829,12069,7599,15911,8065,5716,4309,10919,2917,6324
"UBTFL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL11",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBTFL6",7,4,3,5,3,2,0,0,1,0,3,0,0,4,1,6,2,10,0,1
"UBTFL7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"UBTFL8",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"UBTFL9",0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0
"UBXN1",6525,6744,2954,4298,7751,4462,1685,7823,5205,2324,5775,14746,2031,7732,3666,5709,3586,4018,306,2670
"UBXN10",804,2859,2738,546,1012,1217,5082,3096,1424,320,1116,1880,477,2693,661,1298,155,1255,318,620
"UBXN10-AS1",19,81,102,63,76,22,143,177,32,26,60,237,30,214,30,66,25,28,28,25
"UBXN11",1484,4199,4514,2749,3724,1924,1430,3144,3507,1363,4022,3375,562,3111,1884,620,1432,1908,197,1089
"UBXN2A",1287,1663,591,1164,1248,1343,1228,1945,934,348,1493,767,1712,1457,998,792,339,1176,384,745
"UBXN2B",4602,4497,1036,2005,1538,1328,4041,2749,2166,709,1964,2515,2706,4690,1595,2178,511,3554,1391,1223
"UBXN4",17582,11819,6543,6563,8795,7248,19797,9371,8296,3668,9909,3209,13755,15982,7178,9373,4534,8314,3888,5178
"UBXN6",8192,12099,5885,4490,10244,8076,2270,9755,11420,3345,8112,12581,2543,8832,5614,3476,2247,3429,266,4242
"UBXN7",6267,5307,1199,2058,2653,2273,3748,3377,1765,921,3861,1255,3724,4840,2345,3084,423,3304,3345,1721
"UBXN7-AS1",2,2,1,1,3,3,0,2,0,3,2,2,2,0,2,0,0,0,11,2
"UBXN8",924,416,402,232,602,471,852,425,896,136,538,351,712,1257,409,399,302,206,190,339
"UCA1",8,49,21,166,92,131,53,57,58,28,19,3,89,10,111,42,3,49,16,18
"UCHL1",468,325,33,168,662,840,305,54,703,126,950,157,859,250,168,170,277,101,6,308
"UCHL1-AS1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"UCHL3",248,371,192,287,464,328,528,549,554,175,338,322,613,802,257,240,543,186,56,206
"UCHL5",5389,3052,1590,1737,1730,1360,6634,1670,1668,773,1755,903,3441,4221,1317,2289,1276,2141,680,1154
"UCK1",3004,3184,1742,1441,1984,2026,1310,2777,1919,853,2052,3950,1301,3118,1731,961,1183,1451,115,1144
"UCK2",5695,3967,2573,2616,2730,1833,3660,3283,4118,640,2659,1854,2887,5922,1691,2633,2153,2276,888,1410
"UCKL1",3488,2835,1195,2022,2557,3208,1791,2833,2972,899,2839,4291,1228,1570,1845,1157,1192,2048,193,743
"UCKL1-AS1",240,107,23,72,29,18,41,40,99,10,97,60,22,40,28,36,12,67,117,16
"UCMA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCN",217,109,275,80,70,209,102,215,290,66,213,373,157,100,75,27,235,46,5,65
"UCN2",6,5,14,15,4,25,41,15,94,16,22,21,24,12,15,1,12,9,3,17
"UCN3",0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"UCP1",10,12,6,27,9,2,7,364,10,1,86,3,4,853,514,3,120,4,4,38
"UCP2",3509,14363,17428,13574,21041,2523,14307,11862,15634,8126,11416,9469,6891,16566,6575,5910,8162,6144,1510,4884
"UCP3",86,150,95,82,160,42,90,253,64,112,190,45,91,116,102,66,85,89,33,50
"UEVLD",4810,3887,1080,1556,1375,2154,4081,2011,2081,641,2210,1277,2667,3550,1510,2826,685,2208,571,1419
"UFC1",14410,7694,13456,3620,7974,4689,14142,6466,13362,2013,5300,6673,7548,12743,3226,10833,5999,6159,1464,4871
"UFD1",5317,3499,2799,2076,3120,2779,4200,2978,2689,1379,2689,4478,2958,3123,1803,1699,2480,2870,757,1178
"UFL1",5058,2679,2081,1933,2362,2001,5144,2433,2811,1408,2702,1193,4700,4211,2295,3225,1155,2970,1292,1513
"UFL1-AS1",6,0,4,0,0,1,4,2,5,0,1,2,3,1,2,2,8,2,13,3
"UFM1",4819,6737,2339,3807,4966,6127,6946,5342,4753,3239,5119,1366,8116,7446,3268,4297,2641,3275,1765,2425
"UFSP1",150,208,52,147,72,82,28,157,93,26,172,390,64,85,64,42,139,84,7,40
"UFSP2",1804,2523,1206,1124,1487,1344,1542,2043,1446,344,1770,1383,2170,1763,1147,866,422,1459,569,966
"UGCG",18729,15555,4046,8001,7749,13090,22114,6047,7947,6628,7807,4605,12900,14236,3229,16983,2367,12197,4051,7153
"UGDH",4156,26667,7880,6182,5079,4996,14587,9984,6191,1302,6718,7581,3765,6515,8451,3814,1993,3201,904,4278
"UGDH-AS1",164,213,90,110,70,154,164,331,100,30,209,121,91,251,148,186,47,157,166,91
"UGGT1",13895,6709,3198,3323,4912,3578,8284,4768,4637,1428,5186,4303,7061,7881,3461,9548,1445,4698,4028,3432
"UGGT2",2049,1808,591,1439,1257,1919,3196,1615,1695,914,1570,483,2699,1431,1124,1233,702,958,855,786
"UGP2",7759,7065,2633,5346,9038,7130,9250,5021,4720,1851,6909,4377,7799,7739,4023,3998,2576,4652,1226,3303
"UGT1A1",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"UGT1A11P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A12P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A13P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT1A5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
